Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Enterococcus faecium GI 21886745		-	21050.21	23.817	1	1	200
Staphylococcus aureus GI 33390919		-	16402.23	18.558	0.844221	0.899351	1682
Staphylococcus lentus GENE pre		-	9912.38	11.215	0.981744	0.981744	1657
Staphylococcus lentus GENE tetK		-	7470.68	8.453	0.855639	0.855639	1369
Staphylococcus lentus GENE repL		-	5512.97	6.2379999999999995	0.837963	0.837963	342
Staphylococcus aureus GENE qacC		-	4893.47	5.537	0.842466	0.842466	201
Salmonella Typhimurium GI 46019645		-	4694.68	5.312	0.655072	0.655072	481
Staphylococcus lentus GENE repC		-	4575.17	5.177	0.663573	0.663573	495
Staphylococcus lentus GI 60416745		-	3274.98	3.705	1	1	21
Staphylococcus aureus GI 33390968		-	2792.91	3.16	0.488778	0.488778	228
Klebsiella pneumoniae GENE tnp		-	2677.72	3.0300000000000002	0.523316	0.523316	125
Staphylococcus aureus GI 33390947		-	2576.5	2.915	0.741935	0.741935	26
Staphylococcus lentus GI 60416748		-	1480.22	1.675	0.5	0.5	15
Enterococcus faecium GI 21886747		-	1067.83	1.208	0.407407	0.407407	11
