Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Rothia mucilaginosa ATCC 25296	553201	733.46	8.334999999999999	5693
Neisseria mucosa	488	588.2	6.683999999999999	3232
Streptococcus sp. SK643_u_t	1095727	510.15	5.797	4716
Streptococcus infantis SPAR10	1159208	457.04	5.194	1588
Streptococcus mitis	28037	443.85	5.044	3172
Neisseria flavescens	484	377.68	4.292	282
Rothia aeria	172042	366.83	4.169	958
Streptococcus parasanguinis F0405	905067	361.34	4.106	1293
Veillonella_u_t	29465	326.15	3.7060000000000004	248
Clostridiales_u_t	186802	310.25	3.526	6
Granulicatella elegans ATCC 700633	626369	302.23	3.435	3764
Streptococcus_u_t	1301	296.11	3.3649999999999998	66
Porphyromonas_u_t	836	294.54	3.347	1841
Prevotella_u_t	838	286.01	3.25	492
Rothia dentocariosa	2047	281.62	3.2	1172
Neisseria cinerea ATCC 14685	546262	221.82	2.521	2370
Propionibacteriaceae_u_t	31957	218.48	2.483	24
Micrococcus luteus	1270	192.83	2.191	92
Prevotella nanceiensis DSM 19126 = JCM 15639	1122988	189.57	2.154	3387
Streptococcus australis ATCC 700641	888833	177.44	2.016	1593
Actinomyces naeslundii str. Howell 279	1115803	175.33	1.992	3290
Peptoniphilus lacrimalis DNF00528	1401070	173.9	1.976	661
Staphylococcus_u_t	1279	171.99	1.955	71
Neisseria subflava NJ9703	546268	160.25	1.821	1289
Neisseria_u_t	482	156.65	1.78	70
Haemophilus parainfluenzae T3T1	862965	148.3	1.685	1126
Streptococcus pneumoniae	1313	141.7	1.6099999999999999	16
Gemella haemolysans ATCC 10379	546270	131.02	1.489	1380
Haemophilus_u_t	724	121.05	1.376	26
Enhydrobacter aerosaccus SK60	553217	113.59	1.291	1386
Granulicatella adiacens ATCC 49175	638301	109.57	1.2449999999999999	1970
Staphylococcus capitis	29388	96.29	1.094	518
Streptococcus pseudopneumoniae	257758	82.8	0.941	14
Gemella sanguinis M325	562983	81.59	0.927	531
