Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Micrococcus luteus	1270	37135.22	9.341000000000001	259817
Haematobacter massiliensis	195105	32799.33	8.25	1623782
Kocuria rhizophila	72000	26301.55	6.616	705195
Acinetobacter sp. CIP 102637	1144669	18266.04	4.595	58208
Cutibacterium acnes	1747	16812.77	4.229	243
Propionibacterium sp. 5_U_42AFAA	450748	16709.28	4.202999999999999	490
Janibacter hoylei	364298	11002.25	2.768	340185
Paracoccus yeei	147645	10799.92	2.717	321700
Staphylococcus capitis	29388	7934.27	1.9959999999999998	4497
Enhydrobacter aerosaccus	225324	7891.82	1.9849999999999999	122979
Acinetobacter lwoffii	28090	6867.07	1.727	11110
Corynebacterium ihumii	1232427	6761.49	1.701	184146
Corynebacterium tuberculostearicum	38304	6722.38	1.691	73621
Corynebacterium pseudogenitalium	38303	6472.34	1.628	75363
Acinetobacter johnsonii	40214	5604.71	1.41	30045
Staphylococcus epidermidis	1282	5494.28	1.3820000000000001	9
Corynebacterium ureicelerivorans	401472	5221.95	1.314	111276
Actinomyces naeslundii	1655	5218.61	1.313	107799
Actinomyces viscosus	1656	5162.59	1.299	53891
Actinomyces oris	544580	4833.5	1.216	63021
Pseudonocardia sp. P2	882856	4747.62	1.194	38382
Acinetobacter idrijaensis	1507807	4462.12	1.122	11543
Paracoccus sanguinis	1545044	4385.57	1.103	52649
Corynebacterium sp. KPL1856	1203563	4064.56	1.022	30
Corynebacterium freneyi	134034	3970.18	0.9990000000000001	86938
Actinomyces sp. oral taxon 175	712119	3871.75	0.9740000000000001	20959
Paenibacillus sophorae	1333845	3609.56	0.9079999999999999	60556
Kocuria palustris	71999	3381.02	0.8500000000000001	38548
Acinetobacter parvus	134533	3373.58	0.849	4014
Brochothrix thermosphacta	2756	3134.49	0.788	61373
Microbacterium sp. KROCY2	1305732	2997.76	0.754	12830
Brachybacterium paraconglomeratum	173362	2999.43	0.754	61806
Gardnerella vaginalis	2702	2736.37	0.688	9961
Facklamia languida	82347	2342.49	0.5890000000000001	31904
Veillonella parvula	29466	2294.36	0.577	7704
Corynebacterium accolens	38284	2191.7	0.551	2370
Corynebacterium imitans	156978	2098.68	0.528	46038
Facklamia ignava	137730	2096.12	0.527	29425
Porphyromonas bennonis	501496	2011.14	0.506	31793
Corynebacterium aurimucosum	169292	1943.92	0.48900000000000005	52745
Acinetobacter_u_s	469	1920.13	0.483	1138
Veillonella sp. 6_1_27	450749	1862.35	0.468	2255
Brevibacterium ravenspurgense	479117	1847.83	0.46499999999999997	42054
Dietzia cinnamea	321318	1809.77	0.455	40576
Actinomyces timonensis	1288391	1752.91	0.441	33427
Actinomyces dentalis	272548	1723.1	0.43299999999999994	32927
Chryseobacterium haifense	421525	1698.91	0.42700000000000005	32792
Staphylococcus hominis	1290	1680.78	0.42300000000000004	722
Corynebacterium genitalium	38288	1565.79	0.394	33404
Corynebacterium minutissimum	38301	1551.97	0.38999999999999996	34242
Nosocomiicoccus massiliensis	1232430	1518.23	0.382	25543
Veillonella dispar	39778	1447.04	0.364	2298
Actinomyces neuii	33007	1439.73	0.362	27099
Acinetobacter ursingii	108980	1344.14	0.338	5219
Haematobacter missouriensis	366616	1311.99	0.33	15616
Staphylococcus haemolyticus	1283	1254.59	0.316	5794
Brevundimonas nasdae	172043	1255.92	0.316	41599
Staphylococcus sp. M0480	1388318	1244.54	0.313	140
Rhizobiales_u_s	356	1220.67	0.307	249
Streptococcus vestibularis	1343	1176.55	0.296	3741
Actinomyces gerencseriae	52769	1082.98	0.272	19264
Leuconostoc carnosum	1252	1076.01	0.271	7645
alpha proteobacterium L41A	1229204	1030.03	0.259	30781
Prevotella melaninogenica	28132	1020.84	0.257	8010
Peptoniphilus harei	54005	854.97	0.215	8706
Acinetobacter calcoaceticus	471	833.01	0.21	186
Streptococcus sp. 2_1_36FAA	469609	828.38	0.208	6735
Streptococcus anginosus	1328	817.24	0.20600000000000002	3323
Facklamia hominis	178214	804.34	0.202	4302
Actinomyces israelii	1659	794.57	0.2	14913
Rothia dentocariosa	2047	767.69	0.193	8918
Corynebacterium matruchotii	43768	750.65	0.189	9370
Corynebacterium pyruviciproducens	598660	744.83	0.187	15889
Brevibacterium casei	33889	734.32	0.185	15898
Rhizobium sp. H41	1510041	724.72	0.182	2962
Acinetobacter schindleri	108981	689.07	0.173	3056
Brevundimonas sp. EAKA	1495854	686.17	0.173	32413
Corynebacterium amycolatum	43765	681.94	0.172	2231
Streptococcus gordonii	1302	678.62	0.17099999999999999	5658
Acinetobacter pittii	48296	650.56	0.164	137
Granulicatella adiacens	46124	617.65	0.155	9556
Achromobacter_u_s	222	598.76	0.151	45
Pseudomonas_u_s	286	595.58	0.15	393
Morococcus cerebrosus	1056807	588.16	0.148	3514
Finegoldia magna	1260	575.13	0.145	5938
Pseudoglutamicibacter albus	98671	572.39	0.14400000000000002	19460
Propionibacterium acidifaciens	556499	564.76	0.14200000000000002	3413
Actinomyces massiliensis	461393	562.74	0.14200000000000002	4497
Corynebacterium kroppenstedtii	161879	561.68	0.14100000000000001	13052
Corynebacterium glucuronolyticum	39791	557.49	0.13999999999999999	8984
Atopobium vaginae	82135	550.57	0.13799999999999998	8133
Neisseria_u_s	482	543.62	0.13699999999999998	187
Anaerococcus provencensis	938293	483.73	0.122	6620
Acinetobacter towneri	202956	475.13	0.12	96
Rhodobacteraceae_u_s	31989	477.85	0.12	16
Brevundimonas diminuta	293	472.42	0.11900000000000001	32761
Acinetobacter junii	40215	469.06	0.11800000000000001	589
Pseudomonas putida	303	467.48	0.11800000000000001	3751
Porphyromonas gingivalis	837	463.6	0.117	63
Bifidobacterium adolescentis	1680	462.68	0.116	223
Paracoccus sphaerophysae	690417	451.46	0.11399999999999999	8129
Rothia aeria	172042	423.45	0.107	1608
Massilia timonae	47229	424.99	0.107	10075
Staphylococcus aureus	1280	419.99	0.106	88
Streptococcus oralis	1303	416.86	0.105	1041
Staphylococcus pettenkoferi	170573	405.16	0.10200000000000001	9074
Streptococcus mitis	28037	404.26	0.10200000000000001	1207
Abiotrophia defectiva	46125	400.71	0.101	7068
Prevotella sp. ICM33	1161412	397.41	0.1	2808
Bordetella pertussis	520	392.39	0.099	1315
Staphylococcus warneri	1292	387.52	0.097	4391
Porphyromonas somerae	322095	385.98	0.097	7518
Staphylococcus saprophyticus	29385	380.3	0.096	484
Cutibacterium granulosum	33011	379.33	0.095	1154
Pseudomonas psychrotolerans	237610	378.5	0.095	3304
Veillonella_u_s	29465	366.12	0.092	54
Pseudomonas aeruginosa	287	365.86	0.092	386
