Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Actinobacteria	201174	210708.91999999998	53.00100000000002	2840014
Alphaproteobacteria	28211	65142.829999999994	16.386	2305506
Gammaproteobacteria	1236	50813.849999999984	12.785	162357
Bacilli	91061	43652.81000000001	10.981	302906
Negativicutes	909932	6953.770000000001	1.7469999999999999	20999
Bacteroidia	200643	6565.39	1.6510000000000002	64438
Betaproteobacteria	28216	4469.0599999999995	1.1260000000000001	34118
Tissierellia	1737404	3324.6600000000003	0.8360000000000001	30086
Flavobacteriia	117743	2375.25	0.5960000000000001	43098
Clostridia	186801	1248.26	0.31299999999999994	12758
Coriobacteriia	84998	803.46	0.20199999999999996	12757
Candidatus Saccharibacteria_u_c	95818	534.94	0.134	1775
Fusobacteriia	203490	364.36	0.092	198
Erysipelotrichia	526524	273.31	0.06899999999999999	2117
Epsilonproteobacteria	29547	226.17	0.055999999999999994	201
Verrucomicrobiae	203494	93.72	0.024	1244
