Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Streptococcus	1301	2470.43	28.073	12458
Neisseria	482	1504.6000000000001	17.098	7243
Rothia	32207	1381.9099999999999	15.703999999999997	7823
Prevotella	838	475.58	5.404	3879
Granulicatella	117563	411.8	4.68	5734
Veillonella	29465	326.15	3.7060000000000004	248
Clostridiales_u_g	186802	310.25	3.526	6
Porphyromonas	836	294.54	3.347	1841
Haemophilus	724	269.35	3.061	1152
Staphylococcus	1279	268.28000000000003	3.0490000000000004	589
Propionibacteriaceae_u_g	31957	218.48	2.483	24
Gemella	1378	212.61	2.4160000000000004	1911
Micrococcus	1269	192.83	2.191	92
Actinomyces	1654	175.33	1.992	3290
Peptoniphilus	162289	173.9	1.976	661
Enhydrobacter	212791	113.59	1.291	1386
