Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Micrococcus luteus	1270	37135.22	9.341000000000001	259817
Haematobacter massiliensis	195105	32799.33	8.25	1623782
Kocuria rhizophila P7-4	1029824	26301.55	6.616	705195
Acinetobacter sp. CIP 102637_u_t	1144669	18266.04	4.595	58208
Propionibacterium acnes HL087PA2	765082	16812.77	4.229	243
Propionibacterium sp. 5_U_42AFAA_u_t	450748	16709.28	4.202999999999999	490
Janibacter hoylei PVAS-1	1210046	11002.25	2.768	340185
Paracoccus yeei ATCC BAA-599	1446473	10799.92	2.717	321700
Staphylococcus capitis QN1	1189311	7934.27	1.9959999999999998	4497
Enhydrobacter aerosaccus SK60	553217	7891.82	1.9849999999999999	122979
Acinetobacter lwoffii SH145	575588	6867.07	1.727	11110
Corynebacterium ihumii	1232427	6761.49	1.701	184146
Corynebacterium tuberculostearicum SK141	553206	6722.38	1.691	73621
Corynebacterium pseudogenitalium ATCC 33035	525264	6472.34	1.628	75363
Acinetobacter johnsonii SH046	575586	5604.71	1.41	30045
Staphylococcus epidermidis IS-K	904791	5494.28	1.3820000000000001	9
Corynebacterium ureicelerivorans	401472	5221.95	1.314	111276
Actinomyces naeslundii str. Howell 279	1115803	5218.61	1.313	107799
Actinomyces viscosus C505	562973	5162.59	1.299	53891
Actinomyces oris K20	871541	4833.5	1.216	63021
Pseudonocardia sp. P2_u_t	882856	4747.62	1.194	38382
Acinetobacter idrijaensis	1507807	4462.12	1.122	11543
Paracoccus sanguinis	1545044	4385.57	1.103	52649
Corynebacterium sp. KPL1856_u_t	1203563	4064.56	1.022	30
Corynebacterium freneyi DNF00450	1287475	3970.18	0.9990000000000001	86938
Actinomyces sp. oral taxon 175 str. F0384	944560	3871.75	0.9740000000000001	20959
Paenibacillus sophorae S27	682957	3609.56	0.9079999999999999	60556
Kocuria palustris PEL	1236550	3381.02	0.8500000000000001	38548
Acinetobacter parvus DSM 16617 = CIP 108168	981333	3373.58	0.849	4014
Brochothrix thermosphacta DSM 20171 = FSL F6-1036	1121126	3134.49	0.788	61373
Microbacterium sp. KROCY2_u_t	1305732	2997.76	0.754	12830
Brachybacterium paraconglomeratum LC44	1064537	2999.43	0.754	61806
Gardnerella vaginalis 6119V5	698961	2736.37	0.688	9961
Facklamia languida CCUG 37842	883113	2342.49	0.5890000000000001	31904
Veillonella parvula DSM 2008	479436	2294.36	0.577	7704
Corynebacterium accolens ATCC 49725	525260	2191.7	0.551	2370
Corynebacterium imitans	156978	2098.68	0.528	46038
Facklamia ignava CCUG 37419	883112	2096.12	0.527	29425
Porphyromonas bennonis DSM 23058 = JCM 16335	1122971	2011.14	0.506	31793
Corynebacterium aurimucosum ATCC 700975	548476	1943.92	0.48900000000000005	52745
Acinetobacter_u_t	469	1920.13	0.483	1138
Veillonella sp. 6_1_27_u_t	450749	1862.35	0.468	2255
Brevibacterium ravenspurgense 5401308 = CCUG 53855	1176165	1847.83	0.46499999999999997	42054
Dietzia cinnamea P4	910954	1809.77	0.455	40576
Actinomyces timonensis DSM 23838	521393	1752.91	0.441	33427
Actinomyces dentalis DSM 19115	1120941	1723.1	0.43299999999999994	32927
Chryseobacterium haifense DSM 19056	1450526	1698.91	0.42700000000000005	32792
Staphylococcus hominis VCU122	904339	1680.78	0.42300000000000004	722
Corynebacterium genitalium ATCC 33030	585529	1565.79	0.394	33404
Corynebacterium minutissimum	38301	1551.97	0.38999999999999996	34242
Nosocomiicoccus massiliensis	1232430	1518.23	0.382	25543
Veillonella dispar DORA_11	1403949	1447.04	0.364	2298
Actinomyces neuii BVS029A5	888439	1439.73	0.362	27099
Acinetobacter ursingii DSM 16037 = CIP 107286	981336	1344.14	0.338	5219
Haematobacter missouriensis	366616	1311.99	0.33	15616
Staphylococcus haemolyticus DNF00585	1401071	1254.59	0.316	5794
Brevundimonas nasdae	172043	1255.92	0.316	41599
Staphylococcus sp. M0480_u_t	1388318	1244.54	0.313	140
Rhizobiales_u_t	356	1220.67	0.307	249
Streptococcus vestibularis F0396	904306	1176.55	0.296	3741
Actinomyces gerencseriae DSM 6844	1120943	1082.98	0.272	19264
Leuconostoc carnosum JB16	1229758	1076.01	0.271	7645
alpha proteobacterium L41A_u_t	1229204	1030.03	0.259	30781
Prevotella melaninogenica D18	575612	1020.84	0.257	8010
Peptoniphilus harei ACS-146-V-Sch2b	908338	854.97	0.215	8706
Acinetobacter calcoaceticus	471	833.01	0.21	186
Streptococcus sp. 2_1_36FAA_u_t	469609	828.38	0.208	6735
Streptococcus anginosus DORA_7	1403946	817.24	0.20600000000000002	3323
Facklamia hominis CCUG 36813	883111	804.34	0.202	4302
Actinomyces israelii DSM 43320	1120944	794.57	0.2	14913
Rothia dentocariosa M567	563032	767.69	0.193	8918
Corynebacterium matruchotii ATCC 33806	566549	750.65	0.189	9370
Corynebacterium pyruviciproducens ATCC BAA-1742	1125779	744.83	0.187	15889
Brevibacterium casei S18	1229781	734.32	0.185	15898
Rhizobium sp. H41_u_t	1510041	724.72	0.182	2962
Acinetobacter schindleri NIPH 900	1217675	689.07	0.173	3056
Brevundimonas sp. EAKA_u_t	1495854	686.17	0.173	32413
Corynebacterium amycolatum SK46	553204	681.94	0.172	2231
Streptococcus gordonii str. Challis substr. CH1	467705	678.62	0.17099999999999999	5658
Acinetobacter pittii D499	1086014	650.56	0.164	137
Granulicatella adiacens ATCC 49175	638301	617.65	0.155	9556
Achromobacter_u_t	222	598.76	0.151	45
Pseudomonas_u_t	286	595.58	0.15	393
Morococcus cerebrosus	1056807	588.16	0.148	3514
Finegoldia magna ATCC 53516	525282	575.13	0.145	5938
Pseudoglutamicibacter albus DNF00011	1401063	572.39	0.14400000000000002	19460
Propionibacterium acidifaciens DSM 21887	1122994	564.76	0.14200000000000002	3413
Actinomyces massiliensis 4401292	1167628	562.74	0.14200000000000002	4497
Corynebacterium kroppenstedtii DSM 44385	645127	561.68	0.14100000000000001	13052
Corynebacterium glucuronolyticum ATCC 51866	548478	557.49	0.13999999999999999	8984
Atopobium vaginae DSM 15829	525256	550.57	0.13799999999999998	8133
Neisseria_u_t	482	543.62	0.13699999999999998	187
Anaerococcus provencensis	938293	483.73	0.122	6620
Acinetobacter towneri	202956	475.13	0.12	96
Rhodobacteraceae_u_t	31989	477.85	0.12	16
Brevundimonas diminuta 470-4	1035191	472.42	0.11900000000000001	32761
Acinetobacter junii	40215	469.06	0.11800000000000001	589
Pseudomonas putida	303	467.48	0.11800000000000001	3751
Porphyromonas gingivalis	837	463.6	0.117	63
Bifidobacterium stercoris JCM 15918	1437612	462.68	0.116	223
