Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Acinetobacter	469	21603.740000000005	32.456999999999994	41581
Pseudomonas	286	12029.310000000001	18.071	175107
Aerococcus	1375	8017.23	12.043999999999999	102665
Micrococcus	1269	6189.47	9.298	7123
Staphylococcus	1279	5645.58	8.482000000000001	13885
Corynebacterium	1716	5218.92	7.841	44169
Aeromonas	642	1310.9699999999998	1.9689999999999999	2911
Jeotgalicoccus	227979	1180.72	1.774	20428
Empedobacter	59734	635.06	0.954	12153
Propionibacteriaceae_u_g	31957	348.56	0.524	46
Streptococcus	1301	326.39	0.49	75
Shewanella	22	323.97	0.48700000000000004	710
Anaerococcus	165779	303.19	0.45599999999999996	84
Finegoldia	150022	253.16	0.38	60
Brochothrix	2755	247.61	0.372	4842
Mobiluncus	2050	241.96	0.363	30
Peptoniphilus	162289	216.82999999999998	0.326	1397
Leclercia	83654	216.64	0.325	5102
Enhydrobacter	212791	201.82	0.303	1836
Rothia	32207	186.89	0.281	8
Actinomyces	1654	155.22	0.233	3174
Comamonas	283	153.97	0.231	2566
Exiguobacterium	33986	143.3	0.215	1516
Enterococcus	1350	140.28	0.211	10
Kocuria	57493	130.82	0.197	1294
Brevibacterium	1696	103.28	0.155	2516
Klebsiella	570	100	0.15	408
Brevundimonas	41275	98.97	0.149	42
Porphyromonas	836	96.75	0.145	268
Serratia	613	95.63	0.14400000000000002	833
Halomonas	2745	86.07	0.129	12
Lactobacillus	1578	84.33	0.127	19
Ochrobactrum	528	83.87	0.126	38
Enterobacter	547	82.39	0.124	15
Escherichia	561	81.43	0.122	6
Clostridium	1485	78.31	0.11800000000000001	281
Levyella	1715798	77.09	0.116	1281
Cutibacterium	1912216	75.72	0.11399999999999999	484
