Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Corynebacterium	1716	48026.520000000004	12.081000000000001	801551
Acinetobacter	469	45803.599999999984	11.524	131395
Micrococcus	1269	37135.22	9.341000000000001	259817
Haematobacter	366614	34111.32	8.58	1639398
Kocuria	57493	29762.68	7.485999999999999	747998
Actinomyces	1654	27023.82	6.799	383516
Staphylococcus	1279	20641.36	5.193	32536
Propionibacterium	1743	17274.039999999997	4.345	3903
Cutibacterium	1912216	17192.100000000002	4.324	1397
Paracoccus	265	15916.059999999998	4.0040000000000004	383506
Janibacter	53457	11002.25	2.768	340185
Enhydrobacter	212791	7891.82	1.9849999999999999	122979
Streptococcus	1301	5983.0599999999995	1.5059999999999996	25649
Veillonella	29465	5969.87	1.5010000000000001	12311
Facklamia	66831	5242.95	1.318	65631
Pseudonocardia	1847	4747.62	1.194	38382
Paenibacillus	44249	3609.56	0.9079999999999999	60556
Brachybacterium	43668	3296.79	0.829	68692
Prevotella	838	3153.5900000000006	0.7920000000000001	21048
Brochothrix	2755	3134.49	0.788	61373
Microbacterium	33882	3129.92	0.787	15960
Porphyromonas	836	3061.83	0.771	40641
Gardnerella	2701	2736.37	0.688	9961
Brevundimonas	41275	2608.6200000000003	0.657	111726
Brevibacterium	1696	2582.15	0.6499999999999999	57952
Pseudomonas	286	2513.3900000000003	0.6320000000000001	18524
Dietzia	37914	1809.77	0.455	40576
Chryseobacterium	59732	1698.91	0.42700000000000005	32792
Nosocomiicoccus	489909	1518.23	0.382	25543
Rothia	32207	1482.38	0.373	12953
Neisseria	482	1444.0100000000002	0.36299999999999993	9416
Peptoniphilus	162289	1283.97	0.322	10409
Rhizobiales_u_g	356	1220.67	0.307	249
Anaerococcus	165779	1177.27	0.29700000000000004	11205
Alphaproteobacteria_u_g	28211	1135.83	0.28600000000000003	30815
Leuconostoc	1243	1076.01	0.271	7645
Bifidobacterium	1678	752.73	0.189	3145
Atopobium	1380	727.84	0.18299999999999997	11185
Rhizobium	379	724.72	0.182	2962
Achromobacter	222	720.56	0.182	167
Granulicatella	117563	617.65	0.155	9556
Lactobacillus	1578	591.26	0.149	2497
Massilia	149698	590.59	0.149	10093
Morococcus	212742	588.16	0.148	3514
Finegoldia	150022	575.13	0.145	5938
Pseudoglutamicibacter	1742991	572.39	0.14400000000000002	19460
Candidatus Saccharibacteria_u_g	95818	534.94	0.134	1775
Selenomonas	970	506.5	0.127	2312
Capnocytophaga	1016	507.98	0.127	6350
Rhodobacteraceae_u_g	31989	477.85	0.12	16
Dermabacter	36739	433.33	0.10900000000000001	10589
Abiotrophia	46123	400.71	0.101	7068
Bordetella	517	392.39	0.099	1315
Roseomonas	125216	372.48	0.093	682
Gemella	1378	351.22	0.088	4386
Haemophilus	724	340.22	0.08600000000000001	1778
Aggregatibacter	416916	320.09	0.08099999999999999	386
Stenotrophomonas	40323	317	0.079	4023
Luteimonas	83614	288.44	0.073	56
Oligella	90243	286.96	0.07200000000000001	1979
Solobacterium	123375	273.31	0.06899999999999999	2117
Dermacoccus	57495	271.55999999999995	0.068	4115
Ruminococcus	1263	271.2	0.068	5880
Leptotrichia	32067	254.11	0.064	74
Enterococcus	1350	250.59	0.063	191
Shewanella	22	240.62	0.061	1294
Dialister	39948	241.05	0.06	3164
Tannerella	195950	238.58	0.06	189
Aerococcus	1375	235.72	0.059000000000000004	275
Megasphaera	906	236.35000000000002	0.059	3212
Aeromonas	642	227.5	0.056999999999999995	28
Phyllobacteriaceae_u_g	69277	223.1	0.055999999999999994	181
Campylobacter	194	226.17	0.055999999999999994	201
Clostridiales_u_g	186802	212.43	0.053	130
Ochrobactrum	528	206.82	0.052	6268
Peptostreptococcus	1257	195.18	0.049	1620
Pseudopropionibacterium	1912217	190.26	0.048	4750
Lautropia	47670	186.55	0.047	4564
Turicella	144193	179.41	0.045	3813
Propionibacteriaceae_u_g	31957	174.02	0.044000000000000004	82
Comamonas	283	173.93	0.044000000000000004	3052
Actinobaculum	76833	166.67	0.042	3709
Empedobacter	59734	168.36	0.042	3956
Varibaculum	184869	160.47	0.04	2664
Propionimicrobium	203133	150.39	0.038	1186
Faecalibacterium	216851	152.5	0.038	1338
Aureimonas	414371	152	0.038	3840
Pseudoxanthomonas	83618	141.58	0.036000000000000004	9
Gordonia	2053	136.95	0.034	88
Parascardovia	196082	131.49	0.033	1770
Lachnoanaerobaculum	1164882	127.24	0.032	969
Levyella	1715798	124.04	0.031	2179
Escherichia	561	121.61	0.031	9
Lysobacter	68	117.12	0.029	56
Fusobacterium	848	110.25	0.027999999999999997	124
Alloprevotella	1283313	111.39	0.027999999999999997	2560
Helcococcus	31983	108.01	0.027	1128
Xanthomonas	338	106.97	0.027	17
Scardovia	196081	103.1	0.026	1792
Pseudochrobactrum	354349	101.54	0.026	2884
Klebsiella	570	97.6	0.025	70
Tissierellia_u_g	1737404	97.36	0.024	1387
Alkanindiges	222991	96.78	0.024	2537
Akkermansia	239934	93.72	0.024	1244
Lachnospiraceae_u_g	186803	87.88	0.022000000000000002	198
Neisseriaceae_u_g	481	85.91	0.022000000000000002	18
Mobiluncus	2050	84.52	0.021	8
Parvimonas	543311	82.92	0.021	19
Oribacterium	265975	77.79	0.02	444
Psychrobacter	497	81.33	0.02	2175
Collinsella	102106	75.62	0.019	1572
