Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Micrococcus luteus	1270	11145.18	33.32	39242
Cutibacterium acnes	1747	3843.19	11.49	51
Propionibacterium sp. 5_U_42AFAA	450748	3808.21	11.385000000000002	86
Pseudonocardia sp. P2	882856	1973.4	5.8999999999999995	5438
Pseudomonas stutzeri	316	926.68	2.77	64
Staphylococcus epidermidis	1282	910.16	2.721	30
Acinetobacter lwoffii	28090	772.96	2.311	593
Acinetobacter sp. CIP 101966	1144662	749.71	2.241	468
Aerococcus viridans	1377	528.17	1.5789999999999997	4822
Lactobacillus gasseri	1596	479.44	1.433	501
Acinetobacter haemolyticus	29430	473.6	1.4160000000000001	736
Kocuria palustris	71999	470.77	1.407	7915
Acinetobacter_u_s	469	469.08	1.402	328
Corynebacterium pseudogenitalium	38303	418.28	1.2510000000000001	3084
Nesterenkonia massiliensis	1232429	410.46	1.2269999999999999	8797
Corynebacterium tuberculostearicum	38304	389.69	1.165	2179
Microbacterium sp. KROCY2	1305732	355.82	1.064	1342
Aeromonas_u_s	642	350.83	1.049	31
Pseudomonas_u_s	286	293.43	0.877	4267
Brachybacterium paraconglomeratum	173362	292	0.873	5626
Staphylococcus_u_s	1279	248.14	0.742	6
Ochrobactrum rhizosphaerae	571254	242.16	0.724	5749
Staphylococcus capitis	29388	241.52	0.722	944
Lactobacillus crispatus	47770	235.18	0.703	821
Tropheryma whipplei	2039	225.15	0.673	631
Acinetobacter johnsonii	40214	222.28	0.6649999999999999	988
Acinetobacter towneri	202956	217.51	0.65	11
Corynebacterium jeikeium	38289	207.11	0.619	2421
Streptococcus sp. HSISS3	1316412	184.79	0.5519999999999999	381
Cutibacterium granulosum	33011	166.68	0.498	985
Brevibacterium ravenspurgense	479117	156.21	0.46699999999999997	3764
Corynebacterium tuscaniense	302449	154.03	0.45999999999999996	3632
Corynebacterium aurimucosum	169292	130.67	0.391	2867
Corynebacterium kroppenstedtii	161879	129.25	0.386	3154
Kocuria rhizophila	72000	125.22	0.374	1254
Propionimicrobium_u_s	203133	121.6	0.364	914
Xanthomonas campestris	339	121.09	0.362	46
Enterococcus faecalis	1351	113.31	0.33899999999999997	6
Corynebacterium urealyticum	43771	110.64	0.331	1238
Streptococcus_u_s	1301	109.63	0.328	22
Corynebacterium massiliense	441501	105.76	0.316	2346
Acinetobacter ursingii	108980	103.91	0.311	43
Finegoldia magna	1260	103.35	0.309	65
Klebsiella_u_s	570	103.41	0.309	62
Streptococcus mutans	1309	99.64	0.298	122
Rothia dentocariosa	2047	86.76	0.259	643
Haematobacter massiliensis	195105	84.88	0.254	2141
Streptococcus thermophilus	1308	84.01	0.251	184
Facklamia hominis	178214	77.51	0.232	439
Staphylococcus xylosus	1288	76.19	0.22799999999999998	37
