Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Micrococcales	85006	13267.569999999998	39.664	69214
Propionibacteriales	85009	7939.68	23.737000000000002	2036
Pseudomonadales	72274	4229.16	12.642999999999999	7498
Pseudonocardiales	85010	1973.4	5.8999999999999995	5438
Lactobacillales	186826	1911.68	5.715	7298
Corynebacteriales	85007	1645.43	4.9190000000000005	20921
Bacillales	1385	1476.01	4.413	1017
Aeromonadales	135624	350.83	1.049	31
Rhizobiales	356	242.16	0.724	5749
Xanthomonadales	135614	121.09	0.362	46
Tissierellales	1737405	103.35	0.309	65
Enterobacterales	91347	103.41	0.309	62
Rhodobacterales	204455	84.88	0.254	2141
