Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Micrococcaceae	1268	12238.39	36.587	57851
Propionibacteriaceae	31957	7939.68	23.737000000000002	2036
Moraxellaceae	468	3009.0499999999997	8.995999999999999	3167
Pseudonocardiaceae	2070	1973.4	5.8999999999999995	5438
Corynebacteriaceae	1653	1645.43	4.9190000000000005	20921
Staphylococcaceae	90964	1476.01	4.413	1017
Pseudomonadaceae	135621	1220.11	3.6470000000000002	4331
Lactobacillaceae	33958	714.62	2.136	1322
Aerococcaceae	186827	605.68	1.8109999999999997	5261
Streptococcaceae	1300	478.07	1.429	709
Microbacteriaceae	85023	355.82	1.064	1342
Aeromonadaceae	84642	350.83	1.049	31
Dermabacteraceae	85020	292	0.873	5626
Brucellaceae	118882	242.16	0.724	5749
Micrococcales_u_f	85006	225.15	0.673	631
Brevibacteriaceae	85019	156.21	0.46699999999999997	3764
Xanthomonadaceae	32033	121.09	0.362	46
Enterococcaceae	81852	113.31	0.33899999999999997	6
Peptoniphilaceae	1570339	103.35	0.309	65
Enterobacteriaceae	543	103.41	0.309	62
Rhodobacteraceae	31989	84.88	0.254	2141
