Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Moraxellaceae	468	21603.740000000005	32.456999999999994	41581
Pseudomonadaceae	135621	12029.310000000001	18.071	175107
Aerococcaceae	186827	8017.23	12.043999999999999	102665
Staphylococcaceae	90964	6826.299999999999	10.256000000000002	34313
Micrococcaceae	1268	6507.18	9.776	8425
Corynebacteriaceae	1653	5218.92	7.841	44169
Aeromonadaceae	84642	1310.9699999999998	1.9689999999999999	2911
Peptoniphilaceae	1570339	773.18	1.162	1541
Flavobacteriaceae	49546	635.06	0.954	12153
Enterobacteriaceae	543	480.46	0.721	5531
Propionibacteriaceae	31957	424.28	0.638	530
Actinomycetaceae	2049	397.18	0.596	3204
Streptococcaceae	1300	326.39	0.49	75
Shewanellaceae	267890	323.97	0.48700000000000004	710
Listeriaceae	186820	247.61	0.372	4842
Rhodospirillales_u_f	204441	201.82	0.303	1836
Comamonadaceae	80864	153.97	0.231	2566
Bacillales_u_f	1385	143.3	0.215	1516
Enterococcaceae	81852	140.28	0.211	10
Brevibacteriaceae	85019	103.28	0.155	2516
Caulobacteraceae	76892	98.97	0.149	42
Porphyromonadaceae	171551	96.75	0.145	268
Yersiniaceae	1903411	95.63	0.14400000000000002	833
Halomonadaceae	28256	86.07	0.129	12
Lactobacillaceae	33958	84.33	0.127	19
Brucellaceae	118882	83.87	0.126	38
Clostridiaceae	31979	78.31	0.11800000000000001	281
Clostridiales_u_f	186802	77.09	0.116	1281
