Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Micrococcales	85006	89668.67000000001	22.555000000000007	1537721
Rhodobacterales	204455	50505.229999999996	12.704	2022920
Corynebacteriales	85007	50152.65	12.615000000000002	846028
Pseudomonadales	72274	48495.099999999984	12.200000000000001	154631
Propionibacteriales	85009	34980.810000000005	8.799	11318
Bacillales	1385	29254.860000000004	7.358999999999999	184394
Actinomycetales	2037	27435.48	6.902	389897
Lactobacillales	186826	14397.949999999997	3.6219999999999994	118512
Rhodospirillales	204441	8264.3	2.078	123661
Bacteroidales	171549	6565.39	1.6510000000000002	64438
Veillonellales	1843489	6447.27	1.6199999999999999	18687
Pseudonocardiales	85010	4747.62	1.194	38382
Bifidobacteriales	85004	3723.6899999999996	0.936	16668
Tissierellales	1737405	3227.3	0.812	28699
Rhizobiales	356	2628.85	0.661	16384
Caulobacterales	204458	2608.6200000000003	0.657	111726
Flavobacteriales	200644	2375.25	0.5960000000000001	43098
Burkholderiales	80840	2350.98	0.593	21170
Neisseriales	206351	2118.08	0.5329999999999999	12948
Clostridiales	186802	1248.26	0.31299999999999994	12758
Alphaproteobacteria_u_o	28211	1135.83	0.28600000000000003	30815
Xanthomonadales	135614	971.11	0.24400000000000002	4161
Coriobacteriales	84999	803.46	0.20199999999999996	12757
Pasteurellales	135625	660.31	0.16699999999999998	2164
Candidatus Saccharibacteria_u_o	95818	534.94	0.134	1775
Selenomonadales	909929	506.5	0.127	2312
Fusobacteriales	203491	364.36	0.092	198
Erysipelotrichales	526525	273.31	0.06899999999999999	2117
Alteromonadales	135622	240.62	0.061	1294
Aeromonadales	135624	227.5	0.056999999999999995	28
Enterobacterales	91347	219.20999999999998	0.056	79
Campylobacterales	213849	226.17	0.055999999999999994	201
Tissierellia_u_o	1737404	97.36	0.024	1387
Verrucomicrobiales	48461	93.72	0.024	1244
