Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Lactobacillales	186826	2882.23	32.753	18192
Micrococcales	85006	1574.7399999999998	17.894999999999996	7915
Neisseriales	206351	1504.6000000000001	17.098	7243
Bacteroidales	171549	770.12	8.751	5720
Bacillales	1385	480.89	5.465000000000001	2500
Veillonellales	1843489	326.15	3.7060000000000004	248
Clostridiales	186802	310.25	3.526	6
Pasteurellales	135625	269.35	3.061	1152
Propionibacteriales	85009	218.48	2.483	24
Actinomycetales	2037	175.33	1.992	3290
Tissierellales	1737405	173.9	1.976	661
Rhodospirillales	204441	113.59	1.291	1386
