Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Brachybacterium paraconglomeratum LC44	1064537	29130.72	18.137	1338265
Micrococcus luteus str. modasa	1232675	16270.65	10.13	613651
Microbacterium sp. KROCY2_u_t	1305732	9423.25	5.867	57521
Janibacter hoylei PVAS-1	1210046	9207.29	5.732	249174
Kocuria palustris PEL	1236550	8866.68	5.52	53568
Staphylococcus pettenkoferi VCU012	904314	5924.75	3.689	179821
Microbacterium barkeri 2011-R4	1197720	5828.41	3.6290000000000004	118943
Kocuria atrinae C3-8	1179225	4307.83	2.682	220367
Microbacterium paraoxydans DH1b	1416752	4167.86	2.595	106491
Actinomyces viscosus C505	562973	3925.67	2.444	41777
Actinomyces sp. oral taxon 175 str. F0384	944560	3266.72	2.0340000000000003	22431
Pseudomonas stutzeri DSM 4166	996285	3112.01	1.9380000000000002	9284
Streptococcus sanguinis SK49	888808	2867.28	1.7850000000000001	14613
Streptococcus parasanguinis DORA_23_24	1403947	2590.72	1.6129999999999998	21628
Actinomyces oris K20	871541	2362.22	1.471	18186
Stenotrophomonas maltophilia	40324	2138.91	1.332	38349
Pseudomonas_u_t	286	2065.06	1.286	2270
Dietzia sp. UCD-THP_u_t	1292020	1885.17	1.174	61509
Streptococcus sp. HSISM1_u_t	1316408	1717.95	1.0699999999999998	11036
Dietzia cinnamea P4	910954	1463.83	0.911	51548
Gordonia terrae NBRC 100016	1089454	1356.71	0.845	59
Staphylococcus capitis	29388	1284.11	0.799	947
Rothia dentocariosa ATCC 17931	762948	1277.8	0.796	17389
Rothia mucilaginosa DY-18	680646	1199.86	0.747	28982
Streptococcus mutans	1309	1193.56	0.743	73
Pseudomonas sp. 313_u_t	1234594	1094.62	0.6819999999999999	19422
Paracoccus yeei ATCC BAA-599	1446473	1085.36	0.676	22925
Veillonella sp. ICM51a_u_t	936591	1030.23	0.641	1504
Veillonella atypica ACS-134-V-Col7a	866778	1005.6	0.626	878
Bacillus sp. EGD-AK10_u_t	1386080	1002.44	0.624	4067
Propionibacterium acidifaciens DSM 21887	1122994	942.96	0.587	5252
Raoultella ornithinolytica	54291	912.36	0.5680000000000001	581
Cellulosimicrobium cellulans LMG 16121	1242247	824.91	0.514	7298
Enhydrobacter aerosaccus SK60	553217	817.07	0.509	7192
Veillonella dispar ATCC 17748	546273	797.19	0.496	12379
Actinomyces odontolyticus ATCC 17982	411466	767.03	0.47800000000000004	6280
Pseudomonas aeruginosa	287	766.76	0.477	20
Streptococcus salivarius	1304	676.31	0.42100000000000004	102
Staphylococcus sp. TE8_u_t	1472720	618.12	0.385	414
Staphylococcus epidermidis NIHLM008	979217	575.94	0.359	56
Delftia sp. 670_u_t	1537702	559.11	0.348	1448
Rhizobium sp. H41_u_t	1510041	539.28	0.336	5460
Paenibacillus sophorae S27	682957	538.33	0.335	6761
Streptococcus agalactiae	1311	526.45	0.328	45
Cellulosimicrobium sp. MM_u_t	1523621	488.82	0.304	3661
Klebsiella oxytoca KONIH1	1333852	484.08	0.301	678
Serratia_u_t	613	460.43	0.28700000000000003	2293
