Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Streptococcaceae	1300	2470.43	28.073	12458
Micrococcaceae	1268	1574.7399999999998	17.894999999999996	7915
Neisseriaceae	481	1504.6000000000001	17.098	7243
Prevotellaceae	171552	475.58	5.404	3879
Carnobacteriaceae	186828	411.8	4.68	5734
Veillonellaceae	31977	326.15	3.7060000000000004	248
Clostridiales_u_f	186802	310.25	3.526	6
Porphyromonadaceae	171551	294.54	3.347	1841
Pasteurellaceae	712	269.35	3.061	1152
Staphylococcaceae	90964	268.28000000000003	3.0490000000000004	589
Propionibacteriaceae	31957	218.48	2.483	24
Bacillales_u_f	1385	212.61	2.4160000000000004	1911
Actinomycetaceae	2049	175.33	1.992	3290
Peptoniphilaceae	1570339	173.9	1.976	661
Rhodospirillales_u_f	204441	113.59	1.291	1386
